FCLICODE,Start Balance,New Client,Closed Clients,From other,Own Resources,End Balance,Category
04000001,3347.19,9,2,122.51,-802.07,2467.63,AMD
04000001,0.0,9,4,732.67,903.37,1236.04,USD
04000001,1097.9,9,1,455.47,-616.35,837.02,EUR
04000001,3641.84,0,0,495.93,-101.26,4036.51,Other
04000002,0.0,8,0,193.8,-169.28,24.52,AMD
04000002,0.0,1,1,264.36,-69.99,94.37,USD
04000002,4798.0,9,0,475.86,-423.26,4850.6,EUR
04000002,0.0,6,1,648.12,788.36,1336.48,Other
04000003,2584.85,6,3,106.59,-506.58,1884.86,AMD
04000003,0.0,7,0,188.26,297.34,485.6,USD
04000003,717.11,5,4,179.99,-838.46,-341.36,EUR
04000003,4202.57,4,1,194.06,-33.01,4263.62,Other
04000004,525.55,8,1,348.63,-217.53,556.65,AMD
04000004,0.0,0,4,793.44,271.51,664.95,USD
04000004,0.0,4,2,733.99,21.92,555.91,EUR
04000004,0.0,5,3,562.29,323.11,585.4,Other
04000005,402.37,4,3,414.77,89.03,606.17,AMD
04000005,52.38,2,4,201.87,-90.37,-236.12,USD
04000005,1989.89,9,2,126.04,168.01,2083.94,EUR
04000005,384.45,7,0,670.27,618.41,1673.13,Other
04000006,0.0,3,1,751.18,-288.31,362.87,AMD
04000006,0.0,8,2,883.92,-953.93,-270.01,USD
04000006,4705.07,9,0,317.29,45.94,5068.3,EUR
04000006,0.0,2,0,967.26,-415.44,551.82,Other
04000007,3204.41,1,0,420.7,528.29,4153.4,AMD
04000007,2146.54,9,3,683.53,486.79,3016.86,USD
04000007,0.0,5,0,689.15,973.69,1662.84,EUR
04000007,0.0,6,4,438.01,-409.07,-371.06,Other
04000008,4130.41,2,1,348.51,205.14,4584.06,AMD
04000008,0.0,7,2,113.39,901.52,814.91,USD
04000008,0.0,2,4,335.17,-939.13,-1003.96,EUR
04000008,1912.43,8,3,158.51,-480.57,1290.37,Other
04000009,0.0,4,2,885.02,-959.31,-274.29,AMD
04000009,394.11,1,4,897.05,362.85,1254.01,USD
04000009,2094.71,3,1,380.42,875.14,3250.27,EUR
04000009,3073.16,9,1,142.01,476.53,3591.7,Other
040000010,0.0,7,0,503.21,-104.24,398.97,AMD
040000010,2085.35,9,2,648.17,-363.93,2169.59,USD
040000010,0.0,2,4,434.95,-35.54,-0.59,EUR
040000010,0.0,1,3,653.65,-598.9,-245.25,Other
040000011,3259.84,9,1,167.21,736.51,4063.56,AMD
040000011,4299.3,8,1,524.86,-735.18,3988.98,USD
040000011,3762.79,1,3,685.64,174.33,4322.76,EUR
040000011,0.0,3,0,169.33,283.81,453.14,Other
040000012,4623.06,4,0,599.49,949.36,6171.91,AMD
040000012,0.0,3,2,267.39,-530.55,-463.16,USD
